timestep,mean_reward,tpr,fpr,privacy_cost
5000,63.46,0.9465648854889576,0.00017038677798599924,0.02083333333332986
10000,63.84,0.970588235286981,0.0,0.02216666666666297
15000,63.75,0.9370629370563842,0.0,0.02233333333332961
20000,62.64,0.9399999999905999,0.0,0.015666666666664053
25000,63.42,0.9191176470520653,0.0,0.02083333333332986
30000,63.51,0.9208633093458931,0.0,0.021333333333329776
35000,64.89,0.9822485207042471,0.0,0.027666666666662055
40000,63.48,0.9833333333251388,0.0,0.019666666666663387
45000,64.71,0.9644970414144113,0.0,0.027166666666662138
50000,62.5,0.9885057471150746,0.0001691188905800492,0.014499999999997583
55000,64.18,0.9862068965449228,0.0001707941929974089,0.023999999999995997
60000,64.05,0.9927007299197614,0.0,0.022666666666662887
65000,64.74,0.9702380952323201,0.0,0.027666666666662055
70000,63.41,0.999999999991453,0.00033996260411348967,0.019833333333330025
75000,64.11,0.992805755388541,0.0,0.022999999999996166
80000,62.25,0.9435483870891649,0.0035738597685494255,0.022999999999996166
85000,64.33,0.9825581395291713,0.002230610844200029,0.030333333333328275
90000,62.51,0.9999999999906541,0.002375699983030311,0.020166666666663304
95000,62.55,0.9906542055982182,0.0020363142711688383,0.019666666666663387
100000,63.386,0.999999999992,0.00034042553191483563,0.024833333333329193
105000,63.07,0.9772727272653238,0.002215405589638341,0.024833333333329193
110000,62.86,0.9307692307620711,0.001703577512776541,0.021833333333329694
115000,63.65,0.9921259842441564,0.00034054146092280934,0.021333333333329776
120000,63.418,0.991869918691123,0.0006806193636207791,0.02116666666666314
125000,63.28,0.9833333333251388,0.0006802721088434217,0.02066666666666322
130000,63.98,0.985714285707245,0.0003412969283275868,0.02333333333332944
135000,64.03,0.9999999999926471,0.00017053206002725605,0.022833333333329525
140000,64.05,0.9999999999928573,0.0005119453924913802,0.02383333333332936
145000,63.99,0.9999999999924812,0.0,0.02216666666666297
150000,63.77,0.9999999999928059,0.001364954785872485,0.024499999999995914
155000,63.3,0.9545454545382233,0.0010224948875253881,0.02199999999999633
160000,64.38600000000001,0.9999999999931973,0.0,0.024833333333329193
165000,64.3,0.9999999999931035,0.0001707941929974089,0.024333333333329276
170000,62.736000000000004,0.9532710280284741,0.0005090785677922096,0.018499999999996915
175000,64.002,0.9999999999928573,0.0005119453924913802,0.024499999999995914
180000,62.298,0.8969072164855989,0.0,0.01633333333333061
185000,64.206,0.9999999999931508,0.000512470105910401,0.02516666666666247
190000,63.06,0.9999999999901961,0.0,0.016999999999997167
195000,62.576,0.9787234042483779,0.004949650110939588,0.028666666666661886
200000,64.33800000000001,0.9999999999931035,0.0,0.024333333333329276
